#TYPE Selected.Microsoft.PowerShell.Commands.MatchInfo
"Path","LineNumber","Line"
"E:\Sharmindar-CRM\config\mail.php","109","    'domain' => env('MAIL_DOMAIN', 'webkul.com'),"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Activity_Base\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Config\core_config.php","61","                'default'    => 'Powered by <span style=""color: rgb(14, 144, 217);""><a href=""http://www.krayincrm.com"" target=""_blank"">Krayin</a></span>, an open-source project by <span style=""color: rgb(14, 144, 217);""><a href=""https://webkul.com"" target=""_blank"">Webkul</a></span>.',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Resources\lang\ar\app.php","333","                'description' => 'Powered by :krayin, an open-source project by :webkul.',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Resources\lang\en\app.php","370","                'description' => 'Powered by :krayin, an open-source project by :webkul.',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Resources\lang\es\app.php","333","                'description' => 'Desarrollado por :krayin, un proyecto de c?digo abierto de :webkul.',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Resources\lang\fa\app.php","333","                'description' => '????? ????? ???? :krayin? ?? ????? ??? ??? ?? :webkul.',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Resources\lang\pt_BR\app.php","333","                'description' => 'Desenvolvido por :krayin, um projeto de c?digo aberto da :webkul.',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Resources\lang\tr\app.php","333","                'description' => ':webkul taraf?ndan geli?tirilen a??k kaynakl? bir proje olan :krayin taraf?ndan desteklenmektedir.',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Resources\lang\vi\app.php","333","                'description' => '???c h? tr? b?i :krayin, m?t d? ?n m? ngu?n m? ???c ph?t tri?n b?i :webkul.',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Admin\src\Resources\views\components\tinymce\index.blade.php","7","        TODO (@devansh-webkul): Only this portion is pending; it just needs to be integrated using the Vite bundler. Currently,"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Attribute\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Contact\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Core\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Dashboard\src\Widgets\BaseWidget.php","76","        // Bouncer specific logic for Webkul CRM"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Email\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\lang\ar\app.php","286","            'webkul'                   => 'Webkul',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\lang\en\app.php","286","            'webkul'                   => 'Webkul',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\lang\es\app.php","286","            'webkul'                   => 'Webkul',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\lang\fa\app.php","286","            'webkul'                   => '?????',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\lang\pt_BR\app.php","215","            'webkul'                   => 'Webkul',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\lang\tr\app.php","278","            'krayin-info'              => 'Webkul taraf?ndan geli?tirilen bir Topluluk Projesi',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\lang\tr\app.php","286","            'webkul'                   => 'Webkul',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\lang\vi\app.php","286","            'webkul'                   => 'Webkul',"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\views\installer\index.blade.php","269","                                href=""https://webkul.com/"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Installer\src\Resources\views\installer\index.blade.php","272","                                @lang('installer::app.installer.index.webkul')"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Lead\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Product\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Setting\src\Http\Controllers\TwoFactorController.php","56","            // Proceed to standard Webkul login routing flow mapping"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Settings\src\Helpers\Core.php","45","     * Webkul Core doesn't actually have a currencies() method, so we provide one."
"E:\Sharmindar-CRM\packages\Sharmindar\Core\Tag\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\User_Base\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\WebForm\composer.json","7","            ""email"": ""jitendra@webkul.com"""
"E:\Sharmindar-CRM\packages\Sharmindar\Core\WebForm\src\Resources\assets\js\plugins\vee-validate.js","110","        // @suraj-webkul"
"E:\Sharmindar-CRM\packages\Sharmindar\Core\WebForm\src\Resources\assets\js\plugins\vee-validate.js","116","        // @suraj-webkul"
